"contractor_id","first_name","last_name","email","skill_level","reports_to"
1,"Chelsea","Jia","chaichai@chaijia.com","Expert",0
2,"Darb","Bateman","dbateman1@typepad.com","Expert",0
3,"Beale","Peto","bpeto2@surveymonkey.com","Expert",0
4,"Sherwin","Mintram","smintram3@taobao.com","Expert",0
5,"Jdavie","Volkes","jvolkes4@flavors.me","Average",15
6,"Hamil","Zollner","hzollner5@constantcontact.com","Average",9
7,"Felipa","Demicoli","fdemicoli6@gravatar.com","Beginner",19
8,"Blondie","Gobell","bgobell7@clickbank.net","Expert",0
9,"Orion","Dutnall","odutnall8@bandcamp.com","Expert",0
10,"Editha","Stainton","estainton9@marketwatch.com","Expert",0
11,"Dacey","Leahy","dleahya@youku.com","Expert",0
12,"Deeyn","Rubenfeld","drubenfeldb@abc.net.au","Beginner",1
13,"Dylan","Hansmann","dhansmannc@netscape.com","Expert",0
14,"Ashlin","Halburton","ahalburtond@webeden.co.uk","Expert",2
15,"Ivonne","Faussett","ifaussette@wisc.edu","Skilled",14
16,"Connie","Farrears","cfarrearsf@state.gov","Beginner",18
17,"Cordell","Huckett","chuckettg@geocities.com","Average",11
18,"Celie","Mungham","cmunghamh@ning.com","Expert",0
19,"Raul","Metzing","rmetzingi@gmpg.org","Specialist",3
20,"Ogdon","Sanz","osanzj@shop-pro.jp","Beginner",19
