"customer_id","first_name","last_name","email","phone","location_id"
1,"Kyra","Eddington","KyraJEddington@armyspy.com","206-702-8922",1001
2,"Jacob","Patterson","JacobCPatterson@teleworm.us","206-796-7629",1002
3,"Elaine","Mecham","ElaineAMecham@dayrep.com","206-343-2643",1003
4,"Jeffrey","Gross","JeffreyMGross@teleworm.us","206-541-4619",1004
5,"Joy ","Macon","JoyJMacon@dayrep.com","206-876-7395",1005
6,"Walter","Cameron","WalterACameron@jourrapide.com","206-267-1846",1006
7,"James","Shires","JamesBShires@armyspy.com","206-555-1031",1007
8,"Jeffrey","Rodman","JefferyCRodman@dayrep.com","206-857-6698",1008
9,"Stephanie","Campbell","StephanieJCampbell@teleworm.us","206-234-6500",1009
10,"James ","Ceniceros","JamesNCeniceros@teleworm.us","206-771-6662",1010
11,"Diane","King","DianeWKing@jourrapide.com","206-246-0718",1011
12,"Bruno","Young","BrunoJYoung@teleworm.us","206-348-1114",1012
